기관명,계약명,계약일,계약금액,계약상대자,키워드
대구팔공중학교,에듀테크 모델학교 운영을 위한 교육용품 및 사무용품 구입비,2023-02-02,543860,지마켓글로벌 유한책임회사,에듀테크
대건중학교,2023. 기초학력향상을 위한 AI기반 에듀테크 학습기 대여,2023-03-28,14000000,주식회사 한국교육네트워크,에듀테크
대구장기초등학교,에듀테크 프로그램(띵커벨) 구입,2023-03-22,480000,(주)아이스크림미디어,에듀테크
대구죽곡초등학교,에듀테크 활용 블렌디드 수업을 위한 수업용 프로그램 구입비 지급,2023-03-16,715000,젠소프트,에듀테크
대구국제고등학교,에듀테크활용을 위한 디자인 제작도구(망고보드) 연간 계약,2023-03-06,560000,(주)리아모어소프트,에듀테크
대구한솔초등학교,디지털 기반 스마트 선도학교 에듀테크 서비스 이용 대금 지급,2023-04-26,2908800,주식회사 클래스팅,에듀테크
학남중학교,2023학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입(띵커벨),2023-04-26,180000,(주)아이스크림미디어,에듀테크
학남중학교,2023학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입,2023-04-24,485787,패들렛,에듀테크
학남중학교,2023학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입(영어과),2023-04-24,960000,주식회사 클래스카드,에듀테크
대구고산초등학교,2023학년도 두드림학교 에듀테크 아이스크림 홈런 사용료 지급,2023-04-24,7584000,(주)아이스크림에듀,에듀테크
경북여자상업고등학교,알쓸신상 수평공동체 수업운영 에듀테크 구입(패들렛),2023-04-14,303258,삼성카드주식회사,에듀테크
경북여자상업고등학교,알쓸신상 수평공동체 수업운영 에듀테크 구입(퀴즐렛),2023-05-16,153600,삼성카드주식회사,에듀테크
성명여자중학교,[빛*]온라인 교육인프라 구축과 원활한 에듀테크 활용 수업을 위한 수업 ...,2023-05-09,9000000,주식회사 빛나는교육,에듀테크
학남중학교,2023학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입비 지출(미...,2023-05-01,160800,미리캔버스,에듀테크
학남중학교,20213학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입비지출,2023-06-24,1286400,미리캔버스,에듀테크
대구용계초등학교,두드림학교 다중지원학생 지원을 위한 에듀테크기반 온라인 콘텐츠 사용...,2023-06-16,948000,주식회사 한국교육네트워크,에듀테크
성서고등학교,1학년 영어과 수업 내 개별화 교육을 위한 에듀테크 프로그램 구입,2023-07-21,360000,클래스카드,에듀테크
대구팔공중학교,(초등) 에듀테크 체험의 날 행사 실시,2023-07-06,2500000,(주)크레듀랩,에듀테크
대구삼덕초등학교,2023학년도 디지털 기반 교수학습 실천교사 에듀테크 도구 구입,2023-08-29,594510,(주)미리디,에듀테크
대구온라인학교,에듀테크 활용 수업을 위한 소프트웨어 사용권(패들렛) 대금 지급,2023-08-24,1218158,Padlet,에듀테크
대구팔공중학교,(G2B)(초등)인공지능 및 에듀테크 교육의 날 행사 실시,2023-08-24,6530000,(주)크레듀랩,에듀테크
대구비봉초등학교,2023학년도 에듀테크 활용 협력수업을 위한 크롬북 충전보관함 구입(나라 ...,2023-09-26,1990000,(주)스마트엑세스,에듀테크
경북공업고등학교,에듀테크 활용 수업을 위한 수학 소프트웨어 구입,2023-09-26,1500000,주식회사 프리윌린,에듀테크
소선여자중학교,2023학년도 디지털 선도학교 에듀테크(원아워) 구독권 구입,2023-09-26,10000000,주식회사 제로엑스플로우,에듀테크
대구온라인학교,에듀테크 활용 수업을 위한 소프트웨어 사용권 구입 대금 지급(Adobe),2023-09-21,252000,Adobe,에듀테크
대구온라인학교,에듀테크 활용 수업을 위한 소프트웨어 사용권 계약 대금 지급(보이저엑스),2023-09-21,383040,주식회사 보이저엑스,에듀테크
대구도림초등학교,리딩앤 에듀테크 구입,2023-09-11,1000000,주식회사 아이포트폴리오,에듀테크
대구온라인학교,에듀테크 활용 수업을 위한 소프트웨어 사용권(패들렛) 대금 지급,2023-09-08,1215158,Padlet,에듀테크
대구월배초등학교,영어교과 에듀테크 도구 이용권 구입,2023-09-05,1500000,주식회사 아이포트폴리오,에듀테크
대구온라인학교,에듀테크 활용 수업을 위한 소프트웨어(플래티콘) 사용권 해외결제 수수 ...,2023-10-26,320,Freepik Company,에듀테크
경일여자중학교,디지털 선도학교 에듀테크 구입,2023-10-23,4198000,한국교직원공제회 S2B,에듀테크
성곡중학교,2023학년도 수학점핑학교 에듀테크를 활용한 수학 수업을 위한 물품 구입 ...,2023-10-20,42300,이베이코리아 유한책임회사(지마켓),에듀테크
대구도림초등학교,(S2B)(디지털선도학교)코드모스 에듀테크 구입,2023-10-19,5730000,주식회사 로지브라더스,에듀테크
대구하빈초등학교,STEAM 선도학교 운영을 위한 에듀테크 프로그램 구입,2023-10-18,262500,한국방송미디어사업단,에듀테크
대구삼덕초등학교,2023학년도 AI 코스웨어 활용 실천교사 에듀테크 도구 구입,2023-10-13,2640000,(주)미리디,에듀테크
대구동일초등학교,디지털 기반 교수학습 실천교사 에듀테크 관련 도서 구입비,2023-10-10,32670,예스이십사(주),에듀테크
대구신월초등학교,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입(협업 프로 ...,2023-11-29,4070000,주식회사 클라썸,에듀테크
대구신월초등학교,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입(VR 프로그램),2023-11-29,4998400,제이로이,에듀테크
대구신월초등학교,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입(정보AI코스...,2023-11-29,4620000,상록교육 협동조합,에듀테크
경북예술고등학교,2023학년도 영어과 수평 공동체 수업용 교육 재료 구입(에듀테크(퀴즈앤) ...,2023-11-24,99000,주식회사 소프트앤,에듀테크
대구태전초등학교,2023학년도 디지털 선도학교 에듀테크 구입(미리캔버스 에듀 플러스),2023-11-06,5500000,주식회사 미리디,에듀테크
대구태전초등학교,2023학년도 디지털 선도학교 에듀테크 구입(트라이디스 소셜학습플랫폼),2023-11-06,3000000,트라이디스,에듀테크
대구삼덕초등학교,2023학년도 디지털 기반 교수학습 실천교사 에듀테크 수업 활용 도구 구입,2023-11-06,307610,이베이코리아 지마켓,에듀테크
조일고등학교,(카드)프로그램-미래역량강화사업 디지털 융합활용 수업 지원 에듀테크 ...,2023-11-04,372600,아이티바로,에듀테크
대구태전초등학교,(카드)2023학년도 디지털 선도학교 에듀테크 구입을 위한 협의회비 지급,2023-11-02,200000,Foi Bake,에듀테크
경일여자중학교,디지털선도학교 에듀테크 구입,2023-11-01,2736000,주식회사 클래스101,에듀테크
정동고등학교,2023. 학교 에듀테크(패들렛) 사용료 지급,2023-12-29,3911694,패들랫,에듀테크
대구비봉초등학교,2023학년도 에듀테크 활용 협력수업을 위한 학생용 크롬북 구입 (s2b),2023-12-29,6900000,(주)국제스쿨(대구),에듀테크
경암중학교,2023. 디지털 선도학교 에듀테크(챗GPT) 구독형 SW 구입비 지급,2023-12-27,1363200,테크빌교육(주),에듀테크
구암고등학교,교과교실제 교과 원격 수업을 위한 에듀테크실 물품 구입,2023-12-21,225380,"이베이코리아(옥션, 지마켓)",에듀테크
대구삼덕초등학교,2023학년도 디지털 기반 교수학습 실천교사 에듀테크 수업 활용 도구 구입,2023-12-13,7880,이베이코리아 지마켓,에듀테크
상원중학교,디지털 기반 스마트 선도학교 운영을 위한 에듀테크 콘텐츠 제작 교육 경...,2023-12-11,1000000,주식회사 크레듀랩,에듀테크
대구신월초등학교,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입,2023-12-04,1980000,주식회사 이웃닷컴,에듀테크
상서고등학교,[교비]2023학년도 디지털 선도학교 수학 에듀테크 프로그램 사용권 구입,2023-12-01,19200000,튜링,에듀테크
경북여자상업고등학교,동계 현장기술연수(맞춤형 현장직무연수) 수업운영 에듀테크 구입,2024-01-16,73765,삼성카드주식회사,에듀테크
경일여자중학교,디지털 선도학교 학생 관리 수업 지원 솔루션 에듀테크 구입,2024-01-10,3000000,한국교직원공제회 S2B,에듀테크
대구비봉초등학교,(s2b)2023학년도 에듀테크 활용 협력수업을 위한 충전보관함 구입,2024-01-05,1492500,스쿨원,에듀테크
대구동문초등학교,2023학년도 디지털 선도학교 운영을 위한 추가 코스웨어(에듀테크) 구입비...,2024-02-13,1302300,S2B학교장터,에듀테크
월배중학교,2024. 생활 중국어과와 한문과 에듀테크 활용수업을 위한 라이센스 구입비...,2024-03-29,360000,주식회사 클래스카드,에듀테크
대구천내초등학교,2024 창의적 체험 동아리(에듀테크부) 물품 구입대금 지급,2024-03-15,720000,스타디지털,에듀테크
대구제일중학교,에듀테크 활용 수업을 위한 교육용 앱 구입 대금 지급(카드),2024-03-14,150000,테크빌교육(주),에듀테크
대구제일중학교,에듀테크 활용 수업을 위한 교육용 앱(클래스카드) 구입 대금 지급(카드),2024-03-14,360000,주식회사 클래스카드,에듀테크
대구제일중학교,에듀테크 활용 수업을 위한 교육용 앱(퀴즈앤) 구입,2024-03-14,623700,주식회사 소프트앤,에듀테크
대구제일중학교,에듀테크 활용 수업을 위한 교육용 앱(미리캔버스) 구입 대금 지급(카드),2024-03-12,160800,미리캔버스,에듀테크
대구고산초등학교,2024학년도 두드림학교 에듀테크 아이스크림 홈런 사용료 지급,2024-04-30,8848000,(주)아이스크림에듀,에듀테크
대구경동초등학교,[S2B]디지털 기반 교육혁신 선도학교 과목별 AI코스웨어 및 에듀테크 프로 ...,2024-04-30,20983000,제이로이,에듀테크
대구도림초등학교,(디지털선도학교)리딩앤 에듀테크 구입,2024-04-29,6570000,주식회사 아이포트폴리오,에듀테크
대구도림초등학교,(디지털선도학교)미리캔버스 에듀테크 구입,2024-04-29,6160000,주식회사 미리디,에듀테크
경북여자상업고등학교,퍼플오션 수평공동체 에듀테크 구입,2024-04-29,447000,미리캔버스,에듀테크
대구동도초등학교,2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 프로그램 사용료 지급,2024-04-29,1980000,(주)아이스크림미디어,에듀테크
경북여자상업고등학교,3학년 수평공동체 디버스타임(DiverseTeam) 에듀테크 구입,2024-04-29,240000,(주)아이스크림미디어,에듀테크
대구도림초등학교,(G2B)(디지털선도학교)클래스팅 에듀테크 구입,2024-04-29,23232000,(주)클래스팅,에듀테크
새론중학교,2024학년도 기초기본학력 향상을 위한 에듀테크 소프트웨어 구입,2024-04-26,168871,book creator,에듀테크
새론중학교,2024학년도 기초기본학력향상을 위한 에듀테크 소프트웨어 구입,2024-04-26,133815,kahoot,에듀테크
대구숙천초등학교,2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크(수학) ...,2024-04-25,4400000,주식회사 클래스팅,에듀테크
협성경복중학교,"디지털 선도학교 공통교과 에듀테크(카훗, 패들렛) 구입",2024-04-25,3040000,테크빌교육(주),에듀테크
대구숙천초등학교,2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크(정보) ...,2024-04-25,10000000,주식회사 로지브라더스,에듀테크
대구용계초등학교,2024학년도 디지털 기반 교육혁신 선도학교 운영 에듀테크 프로그램 이용 ...,2024-04-24,2970000,멀티정보,에듀테크
대구칠성초등학교,2024. 교육국제화특구 AI기반 학습자 맞춤형 영어교육을 위한 에듀테크 도 ...,2024-04-24,131200,허정문,에듀테크
협성경복중학교,디지털 선도학교 공통교과 에듀테크(미리캔버스) 구입,2024-04-24,5500000,주식회사 미리디,에듀테크
대구매곡초등학교,[카드] AI코스웨어 및 에듀테크(미리캔버스) 구입,2024-04-23,1085600,테크빌교육(주),에듀테크
대구숙천초등학교,2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크(국어 ...,2024-04-23,18340000,제이로이,에듀테크
대구숙천초등학교,2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크(영어) ...,2024-04-23,5760000,주식회사 커넥트에듀,에듀테크
매호중학교,2024학년도 디지털 자유학기 연구학교 에듀테크 활용 수업을 위한 앱 구입...,2024-04-19,3045000,주식회사 클라썸,에듀테크
협성경복중학교,디지털 선도학교 공통교과 에듀테크(미리캔버스) 구입,2024-04-18,5500000,주식회사 미리디,에듀테크
대구매곡초등학교,(S2B) 2024년 디지털 기반 선도학교 운영을 위한 프로그램(에듀테크-패들렛 ...,2024-04-18,1280000,(주)헬로소프트,에듀테크
신명고등학교,2024학년도 국어과 에듀테크 활용 수업 물품 구입비 지출,2024-04-17,110000,(주)아이노비아,에듀테크
대구매곡초등학교,[카드] AI코스웨어 및 에듀테크(띵커벨 이용권) 구입,2024-04-17,1200000,(주)아이스크림미디어,에듀테크
대구남동초등학교,IB PYP 운영을 위한 에듀테크 서비스 연간 이용권(패들렛) 구입비 지급,2024-04-17,2121845,PADLET,에듀테크
대구학산초등학교,교육용소프트웨어(에듀테크 프로그램-패들렛) 구입비 지급,2024-04-15,132460,PADLET* PADLET SOFTWAR,에듀테크
대구용계초등학교,두드림학교 다중지원학생 지원을 위한 에듀테크기반 온라인 콘텐츠 구입,2024-04-11,1738000,주식회사 한국교육네트워크,에듀테크
도원중학교,디지털 기반 교육혁신 연구학교 운영 에듀테크 프로그램 구입 대금 지급,2024-04-09,1980000,주식회사 소프트앤,에듀테크
경북여자상업고등학교,퐁당상업 수평공동체 에듀테크 구입,2024-04-09,412718,삼성카드주식회사,에듀테크
대구칠성초등학교,2024 영어 온 책 읽기 프로그램 에듀테크(북크리에이터) 도구 구입,2024-04-08,166314,임현진,에듀테크
오성고등학교,"2024 디지털 기반 교육혁신 선도학교 운영 에듀테크 구입(어도비, 패들렛)",2024-04-04,3555000,제이로이,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털활용 수업을 위한 에듀테크 구독비,2024-04-03,160800,미리캔버스,에듀테크
경북여자상업고등학교,2학년 수평공동체 에듀테크프로그램 구입,2024-04-01,241195,삼성카드주식회사,에듀테크
북대구초등학교,에듀테크 실천을 위한 학급관리 프로그램 구입비 지급,2024-04-01,198000,에듀지원 주식회사,에듀테크
대구호산초등학교,2024 AI·에듀테크 영어교육 운영물품 구입비 지급,2024-05-31,945600,지마켓글로벌유한책임회사,에듀테크
대구신서초등학교,(카드)2024학년도 디지털선도학교 에듀테크 및 코스웨어 추가 구입비 지급,2024-05-30,2802000,(주)아이스크림미디어,에듀테크
대구세명학교,[S2B] 2024. 전반기 디지털 기반 교수학습지원을 위한 에듀테크 회원권 구입...,2024-05-30,81000,주식회사 에누마코리아,에듀테크
대구세명학교,2024. 전반기 디지털 기반 교수학습지원을 위한 에듀테크 회원권 구입비 ...,2024-05-30,279000,주식회사 젠소프트,에듀테크
경북여자상업고등학교,휴먼아트커머스 수평공동체 에듀테크 구입,2024-05-30,160800,미리캔버스,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영 물품(칼라...,2024-05-28,152210,주식회사 지마켓,에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 (멘티미 ...,2024-05-28,1093800,주식회사 모노플로우,에듀테크
대구방촌초등학교,디지털 기반 교육학습 에듀테크 앱 구입,2024-05-24,298000,패들렛,에듀테크
협성경복중학교,수평공동체 수업운영 에듀테크 프로그램(띵커벨) 구입,2024-05-24,180000,(주)아이스크림미디어,에듀테크
경신고등학교,2024. 전반기 디지털 기반 교수학습 에듀테크 바우처 도서 구입비 지급(2차),2024-05-23,60120,예스이십사주식회사,에듀테크
대구서평초등학교,"에듀테크 수업 활용을 위한 정보화기기(전자칠판, 태블릿컴퓨터) 구입비 ...",2024-05-23,7330000,주식회사 삼성엠피에스,에듀테크
월배중학교,2024. 영어과 에듀테크 활용수업을 위한 라이센스(플랭 프리미엄) 구입,2024-05-22,1200000,주식회사 플랭,에듀테크
대구옥포초등학교,2024학년도 에듀테크 활용 교육을 위한 프로그램 구입비 지급,2024-05-22,1047000,홍경아,에듀테크
대구매동초등학교,디지털 연구학교 운영을 위한 에듀테크 구입(투닝)비 지급,2024-05-21,3219540,주식회사 툰스퀘어 (Toonsquare),에듀테크
대구매동초등학교,디지털 연구학교 운영을 위한 에듀테크 구입(트라이디스),2024-05-21,3000000,(주)트라이디스,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT Team 연간 플랜),2024-05-21,919858,OPENAI,에듀테크
대구도림초등학교,"(디지털선도학교)패들렛, 자작자작 에듀테크 구입",2024-05-20,1612000,테크빌교육(티처몰),에듀테크
새론중학교,교과형(교과융합) 전문학습공동체 에듀테크활용 프로그램 이용료 지급,2024-05-17,49000,(주)리아모어소프트,에듀테크
대구팔공중학교,(초)2024학년도 창의적체험활동동아리(스펀지 에듀테크부) 물품(인공지능 ...,2024-05-16,975660,지마켓글로벌 유한책임회사,에듀테크
경화여자고등학교,2024학년도 일본어 수업 활용 에듀테크 구입,2024-05-16,240000,주식회사클래스카드,에듀테크
경북여자상업고등학교,2학년 수평공동체 에듀테크프로그램 구입,2024-05-11,160800,미리캔버스,에듀테크
대구만촌초등학교,에듀테크 소프트웨어(패들렛) 구입 대금 지급,2024-05-10,2175000,주식회사 리퓨터,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털 활용 수업을 위한 에듀테크 구독비,2024-05-10,228000,박성숙,에듀테크
대구공업고등학교,[수평공동체] 교과형(에듀테크) 퀴즈앤 이용권 구매,2024-05-10,396000,주식회사 소프트앤,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털활용 수업을 위한 에듀테크 구독비 품의,2024-05-09,258000,강인경,에듀테크
대구남덕초등학교,2024학년도 IB PYP 프로그램 운영 에듀테크 계정 구입 비용,2024-05-09,1935000,티처몰(키즈티처몰),에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 구입,2024-05-08,2065750,(주)아이스크림미디어,에듀테크
대구테크노초등학교,디지털 기반 교육혁신 선도학교 에듀테크 SW(패들렛스쿨) 구입비 지급,2024-05-07,3870000,주식회사 모노플로우,에듀테크
월서중학교,[S2B] 페들렛 프로그램구입(예술교과 에듀테크 활용),2024-05-07,580000,주식회사 리퓨터,에듀테크
대구테크노초등학교,디지털 기반 교육혁신 선도학교 에듀테크 SW(미리캠버스) 구입비 지급,2024-05-07,1502000,제이로이,에듀테크
경북여자상업고등학교,퐁당상업 수평공동체 에듀테크 구입,2024-05-04,160800,미리캔버스,에듀테크
경북여자상업고등학교,휴먼아트커머스 수평공동체 에듀테크 구입,2024-05-03,339284,삼성카드주식회사,에듀테크
대구도림초등학교,(디지털선도학교)팅커벨 에듀테크 구입,2024-05-03,75000,(주)아이스크림미디어,에듀테크
계성중학교,교과형 수평공동체 수업 연구를 위한 에듀테크 프로그램 구입비 지출,2024-05-02,321600,주식회사 미리디,에듀테크
소선여자중학교,교실수업 개선 에듀테크 앱 구입,2024-05-01,1050000,테크빌교육(주),에듀테크
매호중학교,2024학년도 디지털 자유학기 연구학교 에듀테크 활용 수업 물품(마이크로 ...,2024-05-01,438900,(주)엔티렉스,에듀테크
대구욱수초등학교,2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 1~6학년 국어 미리캔...,2024-06-28,594510,미리디,에듀테크
대구테크노초등학교,(S2B)2024학년도 영어 에듀테크 SW(클래스카드) 구입비 지급,2024-06-28,2120000,엘위드,에듀테크
대구테크노초등학교,(S2B)2024학년도 AI 코스웨어 및 에듀테크 SW(어도비클라우드) 구입비 지급,2024-06-28,381000,아이티존(주),에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(ChatGPT) 구입비 지급,2024-06-25,1363200,테크빌교육(주),에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(Gamma) 구입비 지급,2024-06-25,649000,주식회사 모노플로우,에듀테크
왕선중학교,2024. 에듀테크 활용 프로그램(학습역량키움 프로그램) 구입,2024-06-25,4000000,주식회사 클래스팅,에듀테크
대구욱수초등학교,[s2b구입]2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 3~6학년 영어...,2024-06-24,4750000,제이로이,에듀테크
대구욱수초등학교,[카드]2024학년도 디지털 기반 교육혁신 선도학교 AI코스웨어 및 에듀테크 ...,2024-06-24,1499500,(주)아이스크림미디어,에듀테크
대구욱수초등학교,[s2b구입]2024학년도 디지털 기반 교육혁신 선도학교 에듀테크 1~6학년 국어...,2024-06-24,2030000,제이로이,에듀테크
대구반야월초등학교,디지털 기반 에듀테크 앱 구입,2024-06-20,345000,주식회사 아이스크림미디어,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 음악교과 디지털활용 수업을 위한 에듀테크 ...,2024-06-19,49000,배수경,에듀테크
새론중학교,2024학년도 1학년 기술교과 에듀테크활용 프로그램 이용료 신청,2024-06-18,227700,(주)젠소프트,에듀테크
효성중학교,에듀테크 바우처를 이용한 교육용 SW 구입,2024-06-11,497900,에듀지원주식회사,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영에 따른 고...,2024-06-10,20800,주식회사 지마켓,에듀테크
대구도림초등학교,(디지털선도학교)코드모스 에듀테크 구입,2024-06-05,9950000,주식회사 로지브라더스,에듀테크
대구한실초등학교,2024학년도 디지털 기반 교육혁신 선도학교 운영 AI 코스웨어(에듀테크) 구...,2024-06-05,5940000,(주)헬로소프트,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영 물품(낚시...,2024-06-03,106040,주식회사 지마켓,에듀테크
대구성당초등학교,[카드]2024학년도 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 ...,2024-06-03,960000,주식회사 클래스카드,에듀테크
대구테크노초등학교,(S2B)디지털 기반 교육혁신 선도학교 에듀테크 SW 구입비 지급,2024-07-31,504000,제이로이,에듀테크
경화여자고등학교,디지털 선도학교 에듀테크 프로그램(ChatGTP Team) 구입,2024-07-23,2124289,OpenAI,에듀테크
부계중학교,[카드-8757]2024 학습 역량 키움 프로그램 운영을 위한 에듀테크 활용 프로 ...,2024-07-23,1120000,주식회사 클래스팅,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털활용 수업을 위한 에듀테크 구독,2024-07-19,34900,이동휘,에듀테크
대구칠성초등학교,2024. AI 기반 영어 학습 프로그램 운영을 위한 에듀테크 도구앱(Padlet) 구입,2024-07-17,129000,허정문,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT 개인 월정),2024-07-17,217275,OPENAI,에듀테크
대구용계초등학교,[카드] 에듀테크 소프트웨어 구입을 위한 물품선정위원회 다과비 지출,2024-07-11,70500,더리버무브스,에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 구입(S2B),2024-07-11,459000,레이블랑,에듀테크
대구팔공중학교,(초등)동구청 교육경비사업 인공지능 에듀테크 체험의 날 행사 경비 지출,2024-07-09,1000000,주식회사 크레듀,에듀테크
대구팔공중학교,[보조금] (초등)동구청 교육경비사업 인공지능 에듀테크 체험의 날 행사 ...,2024-07-09,4600000,주식회사 크레듀,에듀테크
새론중학교,교과형(교과융합) 전문학습공동체 에듀테크활용 프로그램 이용료 신청,2024-07-05,9900,플루닛,에듀테크
성명여자중학교,[S2B]에듀테크 활용 교육용 소모품(코시 C타입 듀얼젠더외 4종) 구입 카드 ...,2024-07-05,177500,주식회사 에스인,에듀테크
대구도림초등학교,(디지털선도학교)팅커벨 에듀테크 추가 구입,2024-07-04,75000,(주)아이스크림미디어,에듀테크
대구옥포초등학교,2024학년도 에듀테크 활용 교육을 위한 프로그램 구입비 지급,2024-07-04,99000,이원경,에듀테크
대구봉덕초등학교,[카드]디지털 기반 교수학습 에듀테크 구입,2024-07-01,160800,미리캔버스,에듀테크
대곡고등학교,[원인행위] AIDT 도입 대비 고교 교육력 제고 사업 에듀테크SW 이용권(패들렛),2024-08-30,435000,엘위드,에듀테크
대곡고등학교,[원인행위] AIDT 도입 대비 고교 교육력 제고 사업 에듀테크SW 이용권(챗GPT),2024-08-30,1625000,나이스쿨,에듀테크
새론중학교,2024학년도 교과교실제 운영을 위한 에듀테크 프로그램 신청,2024-08-29,352000,(주)젠소프트,에듀테크
경암중학교,2024. 디지털 선도학교 에듀테크 구독형 SW(미리캔버스) 구입비 지급,2024-08-28,1376760,주식회사 미리디,에듀테크
성곡중학교,2024학년도 대구미래학교 운영을 위한 에듀테크 도구 구입비 지급,2024-08-28,270000,(주)아이스크림미디어,에듀테크
성곡중학교,2024학년도 대구미래학교 운영을 위한 에듀테크 도구 구입,2024-08-27,3237600,제이로이,에듀테크
경북여자상업고등학교,교육과정-수업-평가 설계·성찰 주간 운영을 위한 에듀테크 구입,2024-08-22,510000,(주)아이스크림미디어,에듀테크
오성중학교,2024 디지털 선도학교 운영 에듀테크 프로그램 구입,2024-08-21,1875000,제이로이,에듀테크
심인중학교,2024학년도 디지털 선도학교 에듀테크 및 AI 도구 용역비 지급,2024-08-19,1930000,주식회사 오늘배움,에듀테크
심인중학교,2024학년도 디지털 선도학교 에듀테크 및 AI 도구 용역비 지급(2),2024-08-19,750000,주식회사 오늘배움,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT 개인 월정),2024-08-17,121480,OPENAI,에듀테크
새론중학교,2024학년도 1학년 기술교과 에듀테크 활용 프로그램 이용 신청,2024-08-13,132641,Padlet,에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 구입,2024-08-06,3520000,(주)미리디,에듀테크
